trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-29.471584479459697,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.6065306597126334}",30,0,-93.60070376511493,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.36787944117144233}",20,0,-105.59901341189467,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.22313016014842982}",20,0,-58.82600007556288,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.1353352832366127}",20,0,-83.74537488395504,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.0820849986238988}",25,0,-129.60165217679628,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.049787068367863944}",25,0,-136.2100750318118,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.0301973834223185}",20,0,-1.3499471563909662,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.01831563888873418}",25,0,-15.31136257861655,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.011108996538242306}",20,0,-37.74016760055108,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.006737946999085467}",30,5,-25.262669350272557,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.004086771438464067}",20,0,-8.226450974685527,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.0024787521766663585}",35,0,24.810420276526497,"{0: 33, 1: 1, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.0015034391929775724}",25,0,10.289043387213717,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.0009118819655545162}",20,8,-72.28630327710017,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.0005530843701478336}",30,0,-81.37033753101014,"{0: 26, 1: 0, 2: 1, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.00033546262790251185}",20,0,-37.91702011129822,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.00020346836901064417}",20,0,24.37464919507179,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.00012340980408667956}",25,4,15.144379330925913,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 7.48518298877006e-05}",20,13,12.307602287000808,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",30,0,-64.08812204260089,"{0: 25, 1: 2, 2: 1, 3: 0, 4: 2}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,15,9.557792410894766,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-131.17498796498492,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 3}",0
4,True,"{'a': 0.0, 'e': 0.0}",30,0,-10.991458182998613,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-29.060474836023175,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
6,True,"{'a': 0.0, 'e': 0.0}",30,0,-15.172009054105025,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-42.617912460531386,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",30,0,-15.170170417397387,"{0: 27, 1: 2, 2: 0, 3: 0, 4: 1}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-64.75923963553824,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,2.572437677512309,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
