trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 1.0}",30,0,-27.356276293810232,"{0: 22, 1: 6, 2: 2, 3: 0, 4: 0}",0
2,False,"{'a': 0.002, 'e': 0.9980019986673331}",20,0,-158.8304130652923,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
3,False,"{'a': 0.002, 'e': 0.9960079893439915}",25,0,-154.91985546008442,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
4,False,"{'a': 0.002, 'e': 0.9940179640539353}",20,14,12.706718557762883,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,False,"{'a': 0.002, 'e': 0.9920319148370607}",35,0,-210.47703155618268,"{0: 19, 1: 4, 2: 9, 3: 0, 4: 3}",0
6,False,"{'a': 0.002, 'e': 0.9900498337491681}",20,0,-46.01033003455465,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.002, 'e': 0.9880717128619305}",20,0,-80.54932934670381,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.002, 'e': 0.9860975442628619}",25,9,-85.95981485858549,"{0: 9, 1: 2, 2: 3, 3: 1, 4: 1}",1
9,False,"{'a': 0.002, 'e': 0.9841273200552851}",20,0,-102.99313793703016,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.002, 'e': 0.9821610323583008}",25,0,-159.82448774896454,"{0: 11, 1: 6, 2: 6, 3: 0, 4: 2}",0
11,False,"{'a': 0.002, 'e': 0.9801986733067553}",20,0,-127.33433081058158,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
12,False,"{'a': 0.002, 'e': 0.97824023505121}",25,0,-183.5881039441304,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
13,False,"{'a': 0.002, 'e': 0.9762857097579093}",25,0,-75.46777677372252,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.002, 'e': 0.9743350896087494}",25,0,-120.16519171653759,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.002, 'e': 0.9723883668012469}",25,0,-51.61820057454284,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
16,False,"{'a': 0.002, 'e': 0.9704455335485082}",25,7,-93.47734850360709,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 1}",1
17,False,"{'a': 0.002, 'e': 0.9685065820791976}",20,0,-135.4629672996174,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
18,False,"{'a': 0.002, 'e': 0.9665715046375066}",25,0,-42.56657299669916,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
19,False,"{'a': 0.002, 'e': 0.9646402934831231}",20,0,-90.016858590513,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.002, 'e': 0.9627129408911995}",25,0,-194.76348489032816,"{0: 11, 1: 2, 2: 7, 3: 4, 4: 1}",0
21,False,"{'a': 0.002, 'e': 0.9607894391523232}",20,0,-125.99205961283707,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
22,False,"{'a': 0.002, 'e': 0.9588697805724845}",25,0,-109.48574675666579,"{0: 12, 1: 2, 2: 11, 3: 0, 4: 0}",0
23,False,"{'a': 0.002, 'e': 0.9569539574730467}",25,0,-112.06725756678819,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
