trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 1.0}",20,0,-51.26189360750803,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.01, 'e': 0.9900498337491681}",30,0,-159.5756886167903,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.9801986733067553}",25,0,-96.74291095331867,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.9704455335485082}",20,3,-123.962556448018,"{0: 9, 1: 1, 2: 5, 3: 0, 4: 2}",1
5,False,"{'a': 0.01, 'e': 0.9607894391523232}",20,0,-34.81648945509174,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 0.01, 'e': 0.951229424500714}",20,0,-104.2148658490315,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.01, 'e': 0.9417645335842487}",25,0,-154.4518687499794,"{0: 12, 1: 5, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.01, 'e': 0.9323938199059483}",25,0,-80.46303283566368,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9231163463866358}",30,5,-83.88903214787472,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",1
10,False,"{'a': 0.01, 'e': 0.9139311852712282}",25,0,-119.46668349974345,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.9048374180359595}",30,0,-125.66698838752448,"{0: 19, 1: 5, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.01, 'e': 0.8958341352965282}",25,0,-79.99629637967294,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.8869204367171575}",25,0,-37.73144056937897,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.8780954309205613}",20,0,-25.858346272964198,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
